State,Year,Number of immigrants,number male,number female,occupation,leading countries of birth,age,marital staus
 Rhode Island,2010,2078,1018,1060, Management/ professional/ and related occupations, Dominican Republic, 35-44 years, ?
 South Carolina,2003,1020,488,532, Professional and technical, ?, 35-44 years, ?
 South Carolina,2004,1748,782,966, Professional and technical, ?, 35-44 years, ?
 South Carolina,2005,916,451,465, Professional and technical, ?, 35-44 years, ?
 South Carolina,2006,2940,1334,1606, Management/ professional/ and related occupations, India, 35-44 years, ?
 South Carolina,2007,1499,632,867, Management/ professional/ and related occupations, India, 35-44 years, ?
 South Carolina,2008,3488,1482,2006, Management/ professional/ and related occupations, India, 35-44 years, ?
 South Carolina,2009,3506,1662,1844, Management/ professional/ and related occupations, India, 35-44 years, ?
 South Carolina,2010,3081,1631,1450, Management/ professional/ and related occupations, India, 25-34 years, ?
 South Dakota,2003,177,88,89, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 South Dakota,2004,257,129,128, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 South Dakota,2005,354,154,200, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 South Dakota,2006,342,184,158, Production/ transportation/ and material moving occupations, Sudan, 25-34 years, ?
 South Dakota,2007,460,242,218, Production/ transportation/ and material moving occupations, Sudan, 25-34 years, ?
 South Dakota,2008,572,254,318, Production/ transportation/ and material moving occupations, Ethiopia, 25-34 years, ?
 South Dakota,2009,415,202,213, Production/ transportation/ and material moving occupations, Ethiopia, 35-44 years, ?
 South Dakota,2010,399,205,194, Production/ transportation/ and material moving occupations, Ethiopia, 25-34 years, ?
 Tennessee,2003,2011,990,1021, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Tennessee,2004,2613,1329,1284, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Tennessee,2005,3578,1648,1930, Professional and technical, ?, 25-34 years, ?
 Tennessee,2006,3334,1574,1760, Management/ professional/ and related occupations, India, 35-44 years, ?
 Tennessee,2007,2927,1357,1570, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Tennessee,2008,5560,2559,3001, Management/ professional/ and related occupations, India, 35-44 years, ?
 Tennessee,2009,4938,2470,2468, Management/ professional/ and related occupations, India, 35-44 years, ?
 Tennessee,2010,4229,2105,2124, Management/ professional/ and related occupations, India, 35-44 years, ?
 Texas,2003,28638,13324,15314, Professional and technical, ?, 35-44 years, ?
 Texas,2004,35417,16295,19122, Professional and technical, ?, 25-34 years, ?
 Texas,2005,38553,17500,21053, Professional and technical, ?, 25-34 years, ?
 Texas,2006,37835,17266,20569, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Texas,2007,53032,23090,29942, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Texas,2008,82129,35767,46362, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Texas,2009,54024,26892,27132, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Texas,2010,49699,24027,25672, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 U.S. Armed Services Posts,2003,0,0,0, Farming/ forestry/ fisheries, ?, 18-24 years, ?
 U.S. Armed Services Posts,2004,0,0,0, Farming/ forestry/ fisheries, ?, 18-24 years, ?
 U.S. Armed Services Posts,2008,565,266,299, Military, Philippines, 25-34 years, ?
 U.S. Armed Services Posts,2009,432,259,173, Military, Philippines, 25-34 years, ?
 U.S. Possessions,2003,1622,745,877, Service, ?, 35-44 years, ?
 U.S. Possessions,2004,1849,866,983, Military, ?, 35-44 years, ?
 U.S. Possessions,2005,2803,1266,1537, Executive and managerial, ?, 35-44 years, ?
 U.S. Possessions,2006,2893,1251,1642, Management/ professional/ and related occupations, Dominican Republic, 25-34 years, ?
 U.S. Possessions,2007,3216,1314,1902, Management/ professional/ and related occupations, Dominican Republic, 35-44 years, ?
 U.S. Possessions,2008,934,397,537, Management/ professional/ and related occupations, Dominica, 45-54 years, ?
 U.S. Possessions,2009,619,270,349, Management/ professional/ and related occupations, Dominican Republic, 45-54 years, ?
 Utah,2003,1682,743,939, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Utah,2004,3110,1361,1749, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Utah,2005,2874,1234,1640, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Utah,2006,2740,1211,1529, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Utah,2007,2777,1201,1576, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Utah,2008,5394,2356,3038, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Utah,2009,2823,1315,1508, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Utah,2010,2908,1345,1563, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Vermont,2003,426,182,244, Professional and technical, ?, 35-44 years, ?
 Vermont,2004,419,184,235, Professional and technical, ?, 35-44 years, ?
 Vermont,2005,488,224,264, Professional and technical, ?, 35-44 years, ?
 Vermont,2006,569,259,310, Management/ professional/ and related occupations, Bosnia and Herzegovina, 25-34 years, ?
 Vermont,2007,468,177,291, Students or children, Bosnia and Herzegovina, 35-44 years, ?
 Vermont,2008,518,228,290, Management/ professional/ and related occupations, Bosnia and Herzegovina, 35-44 years, ?
 Vermont,2009,426,183,243, Management/ professional/ and related occupations, Canada, 35-44 years, ?
 Vermont,2010,407,192,215, Management/ professional/ and related occupations, Canada, 35-44 years, ?
 Virginia,2003,9583,4484,5099, Professional and technical, ?, 35-44 years, ?
 Virginia,2004,13478,6244,7234, Professional and technical, ?, 35-44 years, ?
 Virginia,2005,17653,8014,9639, Military, ?, 35-44 years, ?
 Virginia,2006,20401,9266,11135, Management/ professional/ and related occupations, India, 35-44 years, ?
 Virginia,2007,14171,6670,7501, Management/ professional/ and related occupations, India, 35-44 years, ?
 Virginia,2008,29949,13565,16382, Management/ professional/ and related occupations, India, 35-44 years, ?
 Virginia,2009,24730,11793,12937, Management/ professional/ and related occupations, India, 35-44 years, ?
 Virginia,2010,17815,8594,9218, Management/ professional/ and related occupations, India, 35-44 years, ?
 Washington,2003,11787,5181,6606, Service, ?, 25-34 years, ?
 Washington,2004,12668,5447,7221, Service, ?, 25-34 years, ?
 Washington,2005,14817,6248,8569, Professional and technical, ?, 25-34 years, ?
 Washington,2006,12762,5478,7284, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Washington,2007,14671,6495,8176, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Washington,2008,18665,8117,10548, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Washington,2009,19853,8994,10859, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Washington,2010,16830,7708,9122, Management/ professional/ and related occupations, India, 35-44 years, ?
 West Virginia,2003,261,110,151, Professional and technical, ?, 35-44 years, ?
 West Virginia,2004,237,114,123, Professional and technical, ?, 35-44 years, ?
 West Virginia,2005,362,155,207, Professional and technical, ?, 35-44 years, ?
 West Virginia,2006,390,161,229, Construction/ extraction/ maintenance and repair occupations, India, 35-44 years, ?
 West Virginia,2007,310,136,174, Students or children, India, 35-44 years, ?
 West Virginia,2008,505,227,278, Management/ professional/ and related occupations, India, 35-44 years, ?
 West Virginia,2009,361,163,198, Management/ professional/ and related occupations, India, 35-44 years, ?
 West Virginia,2010,550,233,317, Management/ professional/ and related occupations, India, 35-44 years, ?
 Wisconsin,2003,2775,1328,1447, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Wisconsin,2004,3570,1690,1880, Operators/ fabricators/ laborers, ?, 35-44 years, ?
 Wisconsin,2005,4040,1891,2149, Operators/ fabricators/ laborers, ?, 25-34 years, ?
 Wisconsin,2006,3247,1488,1759, Management/ professional/ and related occupations, Mexico, 25-34 years, ?
 Wisconsin,2007,4485,2096,2389, Production/ transportation/ and material moving occupations, Mexico, 35-44 years, ?
 Wisconsin,2008,5200,2512,2688, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Wisconsin,2009,3845,1877,1968, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Wisconsin,2010,3864,1790,2074, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Wyoming,2003,111,44,67, Service, ?, 35-44 years, ?
 Wyoming,2004,146,65,81, Service, ?, 35-44 years, ?
 Wyoming,2005,134,60,74, Professional and technical, ?, 25-34 years, ?
 Wyoming,2006,169,75,94, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Wyoming,2007,190,83,107, Service occupations, Mexico, 35-44 years, ?
 Wyoming,2008,245,98,147, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Wyoming,2009,186,82,104, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
 Wyoming,2010,229,96,133, Management/ professional/ and related occupations, Mexico, 35-44 years, ?
